<p>
BTHO0397-00000004	신경학	신경학/NNG
BTHO0397-00055734	동반하는	동반/NNG + 하/XSV + 는/ETM
BTHO0397-00055735	과도	과도/NNG
BTHO0397-00055736	기면증	기면증/NNG
BTHO0397-00055737	(excessive	(/SS + excessive/SL
BTHO0397-00055738	sleepiness)이	sleepiness/SL + )/SS + 이/JKS
BTHO0397-00055739	특징적인	특징/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0397-00055740	경우이다'라고	경우/NNG + 이/VCP + 다/EF + '/SS + 라고/JKQ
BTHO0397-00055741	정의하고	정의/NNG + 하/XSV + 고/EC
BTHO0397-00055742	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0397-00055743	그래서	그래서/MAJ
BTHO0397-00055744	탈력	탈력/NNG
BTHO0397-00055745	발작이	발작/NNG + 이/JKS
BTHO0397-00055746	없으면,	없/VA + 으면/EC + ,/SP
BTHO0397-00055747	정의	정의/NNG
BTHO0397-00055748	상에서	상/NNG + 에서/JKB
BTHO0397-00055749	발작성	발작/NNG + 성/XSN
BTHO0397-00055750	수면보다는	수면/NNG + 보다/JKB + 는/JX
BTHO0397-00055751	다른	다른/MM
BTHO0397-00055752	REM	REM/SL
BTHO0397-00055753	현상을	현상/NNG + 을/JKO
BTHO0397-00055754	동반한	동반/NNG + 하/XSV + ᆫ/ETM
BTHO0397-00055755	과도	과도/NNG
BTHO0397-00055756	주간	주간/NNG
BTHO0397-00055757	기면증을	기면증/NNG + 을/JKO
BTHO0397-00055758	일으키는	일으키/VV + 는/ETM
BTHO0397-00055759	질환들의	질환/NNG + 들/XSN + 의/JKG
BTHO0397-00055760	가능성	가능/NNG + 성/XSN
BTHO0397-00055761	때문에	때문/NNB + 에/JKB
BTHO0397-00055762	구분이	구분/NNG + 이/JKS
BTHO0397-00055763	어렵다.	어렵/VA + 다/EF + ./SF
</p>
<p>
BTHO0397-00055764	역사적으로	역사/NNG + 적/XSN + 으로/JKB
BTHO0397-00055765	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00055766	수면	수면/NNG
BTHO0397-00055767	발작의	발작/NNG + 의/JKG
BTHO0397-00055768	설명에서	설명/NNG + 에서/JKB
BTHO0397-00055769	동반되는	동반/NNG + 되/XSV + 는/ETM
BTHO0397-00055770	기립불능증	기립/NNG + 불능증/NNG
BTHO0397-00055771	(astasia)이라는	(/SS + astasia/SL + )/SS + 이/VCP + 라는/ETM
BTHO0397-00055772	갑작스런	갑작스럽/VA + ᆫ/ETM
BTHO0397-00055773	근	근/MM
BTHO0397-00055774	긴장성	긴장/NNG + 성/XSN
BTHO0397-00055775	소실	소실/NNG
BTHO0397-00055776	상태를	상태/NNG + 를/JKO
BTHO0397-00055777	1902년	1902/SN + 년/NNB
BTHO0397-00055778	Loewenfeld가	Loewenfeld/SL + 가/JKS
BTHO0397-00055779	처음으로	처음/NNG + 으로/JKB
BTHO0397-00055780	발작성	발작/NNG + 성/XSN
BTHO0397-00055781	수면과	수면/NNG + 과/JC
BTHO0397-00055782	웃거나	웃/VV + 거나/EC
BTHO0397-00055783	화내거나	화내/VV + 거나/EC
BTHO0397-00055784	또는	또는/MAG
BTHO0397-00055785	기타	기타/NNG
BTHO0397-00055786	감정적	감정/NNG + 적/XSN
BTHO0397-00055787	상태에서	상태/NNG + 에서/JKB
BTHO0397-00055788	근육들의	근육/NNG + 들/XSN + 의/JKG
BTHO0397-00055789	일시적	일시/NNG + 적/XSN
BTHO0397-00055790	마비가	마비/NNG + 가/JKS
BTHO0397-00055791	일어나는	일어나/VV + 는/ETM
BTHO0397-00055792	것과	것/NNB + 과/JKB
BTHO0397-00055793	상관성이	상관/NNG + 성/XSN + 이/JKS
BTHO0397-00055794	있음을	있/VV + 음/ETN + 을/JKO
BTHO0397-00055795	기술하였고,	기술/NNG + 하/XSV + 았/EP + 고/EC + ,/SP
BTHO0397-00055796	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00055797	상태를	상태/NNG + 를/JKO
BTHO0397-00055798	1926년	1926/SN + 년/NNB
BTHO0397-00055799	Adie가	Adie/SL + 가/JKS
BTHO0397-00055800	'탈력	'/SS + 탈력/NNG
BTHO0397-00055801	발작	발작/NNG
BTHO0397-00055802	(cataplexy)'라는	(/SS + cataplexy/SL + )/SS + '/SS + 이/VCP + 라는/ETM
BTHO0397-00055803	용어를	용어/NNG + 를/JKO
BTHO0397-00055804	사용하였다.	사용/NNG + 하/XSV + 았/EP + 다/EF + ./SF
</p>
<p>
BTHO0397-00055805	또한	또한/MAG
BTHO0397-00055806	임상적으로	임상/NNG + 적/XSN + 으로/JKB
BTHO0397-00055807	1927년에	1927/SN + 년/NNB + 에/JKB
BTHO0397-00055808	Lhermitte와	Lhermitte/SL + 와/JC
BTHO0397-00055809	Tournay가	Tournay/SL + 가/JKS
BTHO0397-00055810	수면	수면/NNG
BTHO0397-00055811	발작에	발작/NNG + 에/JKB
BTHO0397-00055812	'입면	'/SS + 입/VV + 면/EC
BTHO0397-00055813	환각	환각/NNG
BTHO0397-00055814	(hypnagogic	(/SS + hypnagogic/SL
BTHO0397-00055815	hallucination)'들이	hallucination/SL + )/SS + '/SS + 들/XSN + 이/JKS
BTHO0397-00055816	동반할	동반/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00055817	수	수/NNB
BTHO0397-00055818	있음을	있/VV + 음/ETN + 을/JKO
BTHO0397-00055819	기술하였으며,	기술/NNG + 하/XSV + 았/EP + 으며/EC + ,/SP
BTHO0397-00055820	1928년	1928/SN + 년/NNB
BTHO0397-00055821	Kinnier	Kinnier/SL
BTHO0397-00055822	Wilson은	Wilson/SL + 은/JX
BTHO0397-00055823	수면에	수면/NNG + 에/JKB
BTHO0397-00055824	빠지면	빠지/VV + 면/EC
BTHO0397-00055825	깨어나도	깨어나/VV + 아도/EC
BTHO0397-00055826	수의적으로	수의/NNG + 적/XSN + 으로/JKB
BTHO0397-00055827	움직이기	움직이/VV + 기/ETN
BTHO0397-00055828	어려운	어렵/VA + ᆫ/ETM
BTHO0397-00055829	'수면	'/SS + 수면/NNG
BTHO0397-00055830	마비	마비/NNG
BTHO0397-00055831	(sleep	(/SS + sleep/SL
BTHO0397-00055832	paralysis)'가	paralysis/SL + )/SS + '/SS + 가/JKS
BTHO0397-00055833	일어난다고	일어나/VV + ᆫ다고/EC
BTHO0397-00055834	설명하였다.	설명/NNG + 하/XSV + 았/EP + 다/EF + ./SF
</p>
<p>
BTHO0397-00055835	그래서	그래서/MAJ
BTHO0397-00055836	임상적으로는	임상/NNG + 적/XSN + 으로/JKB + 는/JX
BTHO0397-00055837	흔히	흔히/MAG
BTHO0397-00055838	4대	4/SN + 대/NNG
BTHO0397-00055839	증상인	증상/NNG + 이/VCP + ᆫ/ETM
BTHO0397-00055840	발작성	발작/NNG + 성/XSN
BTHO0397-00055841	수면,	수면/NNG + ,/SP
BTHO0397-00055842	탈력	탈력/NNG
BTHO0397-00055843	발작,	발작/NNG + ,/SP
BTHO0397-00055844	입면	입면/NNG
BTHO0397-00055845	마비	마비/NNG
BTHO0397-00055846	및	및/MAG
BTHO0397-00055847	환각이	환각/NNG + 이/JKS
BTHO0397-00055848	함께	함께/MAG
BTHO0397-00055849	잘	잘/MAG
BTHO0397-00055850	일어난다	일어나/VV + ᆫ다/EC
BTHO0397-00055851	점이	점/NNG + 이/JKS
BTHO0397-00055852	특징적이다.	특징/NNG + 적/XSN + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0397-00055853	한편	한편/MAG
BTHO0397-00055854	일부	일부/NNG
BTHO0397-00055855	학자들은	학자/NNG + 들/XSN + 은/JX
BTHO0397-00055856	가족력과	가족력/NNG + 과/JC
BTHO0397-00055857	과도	과도/NNG
BTHO0397-00055858	수면	수면/NNG
BTHO0397-00055859	장애에	장애/NNG + 에/JKB
BTHO0397-00055860	관한	관하/VV + ᆫ/ETM
BTHO0397-00055861	연구에서	연구/NNG + 에서/JKB
BTHO0397-00055862	HLA-DR2와	HLA/SL + -/SS + DR/SL + 2/SN + 와/JC
BTHO0397-00055863	Dqwl와	Dqwl/SL + 와/JC
BTHO0397-00055864	발작성	발작/NNG + 성/XSN
BTHO0397-00055865	수면간의	수면/NNG + 간/NNB + 의/JKG
BTHO0397-00055866	조직	조직/NNG
BTHO0397-00055867	면역학적	면역학/NNG + 적/XSN
BTHO0397-00055868	상관성을	상관/NNG + 성/XSN + 을/JKO
BTHO0397-00055869	보고한	보고/NNG + 하/XSV + ᆫ/ETM
BTHO0397-00055870	경우도	경우/NNG + 도/JX
BTHO0397-00055871	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00055872	일반적으로	일반/NNG + 적/XSN + 으로/JKB
BTHO0397-00055873	발작성	발작/NNG + 성/XSN
BTHO0397-00055874	수면은	수면/NNG + 은/JX
BTHO0397-00055875	15～35세	15/SN + ～/SO + 35/SN + 세/NNB
BTHO0397-00055876	사이에서	사이/NNG + 에서/JKB
BTHO0397-00055877	서서히	서서히/MAG
BTHO0397-00055878	발병하며,	발병/NNG + 하/XSV + 며/EC + ,/SP
BTHO0397-00055879	환자의	환자/NNG + 의/JKG
BTHO0397-00055880	약	약/MM
BTHO0397-00055881	90%가	90/SN + %/SW + 가/JKS
BTHO0397-00055882	25세	25/SN + 세/NNB
BTHO0397-00055883	이전에	이전/NNG + 에/JKB
BTHO0397-00055884	시작한다.	시작/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00055885	수면	수면/NNG
BTHO0397-00055886	발작이	발작/NNG + 이/JKS
BTHO0397-00055887	흔히는	흔히/MAG + 는/JX
BTHO0397-00055888	첫	첫/MM
BTHO0397-00055889	번째로	번/NNB + 째/XSN + 로/JKB
BTHO0397-00055890	발생하는	발생/NNG + 하/XSV + 는/ETM
BTHO0397-00055891	증상이다.	증상/NNG + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0397-00055892	그러나	그러나/MAJ
BTHO0397-00055893	드물게는	드물/VA + 게/EC + 는/JX
BTHO0397-00055894	탈력	탈력/NNG
BTHO0397-00055895	발작이나	발작/NNG + 이나/JC
BTHO0397-00055896	수면	수면/NNG
BTHO0397-00055897	마비가	마비/NNG + 가/JKS
BTHO0397-00055898	먼저	먼저/MAG
BTHO0397-00055899	동반되는	동반/NNG + 되/XSV + 는/ETM
BTHO0397-00055900	수도	수/NNB + 도/JX
BTHO0397-00055901	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00055902	탈력	탈력/NNG
BTHO0397-00055903	발작이	발작/NNG + 이/JKS
BTHO0397-00055904	일어나기	일어나/VV + 기/ETN
BTHO0397-00055905	수개월	수개월/NNG
BTHO0397-00055906	혹은	혹은/MAG
BTHO0397-00055907	수년	수년/NNG
BTHO0397-00055908	전에	전/NNG + 에/JKB
BTHO0397-00055909	과도	과도/NNG
BTHO0397-00055910	주간	주간/NNG
BTHO0397-00055911	기면증이	기면증/NNG + 이/JKS
BTHO0397-00055912	선행하는	선행/NNG + 하/XSV + 는/ETM
BTHO0397-00055913	수가	수/NNB + 가/JKS
BTHO0397-00055914	많다.	많/VA + 다/EF + ./SF
</p>
<p>
BTHO0397-00055915	이	이/MM
BTHO0397-00055916	질환에서	질환/NNG + 에서/JKB
BTHO0397-00055917	필수적인	필수/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0397-00055918	장애는	장애/NNG + 는/JX
BTHO0397-00055919	억제할	억제/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00055920	수	수/NNB
BTHO0397-00055921	없이	없이/MAG
BTHO0397-00055922	일어나는	일어나/VV + 는/ETM
BTHO0397-00055923	빈번한	빈번/XR + 하/XSA + ᆫ/ETM
BTHO0397-00055924	불가항력적인	불가항력/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0397-00055925	발작성	발작/NNG + 성/XSN
BTHO0397-00055926	수면이다.	수면/NNG + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0397-00055927	하루에도	하루/NNG + 에/JKB + 도/JX
BTHO0397-00055928	여러	여러/MM
BTHO0397-00055929	번	번/NNB
BTHO0397-00055930	일어나고,	일어나/VV + 고/EC + ,/SP
BTHO0397-00055931	식사	식사/NNG
BTHO0397-00055932	후에	후/NNG + 에/JKB
BTHO0397-00055933	혹은	혹은/MAG
BTHO0397-00055934	수업	수업/NNG
BTHO0397-00055935	중에	중/NNB + 에/JKB
BTHO0397-00055936	앉아있는	앉/VV + 아/EC + 있/VX + 는/ETM
BTHO0397-00055937	동안에도	동안/NNG + 에/JKB + 도/JX
BTHO0397-00055938	발생하며,	발생/NNG + 하/XSV + 며/EC + ,/SP
BTHO0397-00055939	주체할	주체/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00055940	길	길/NNG
BTHO0397-00055941	없는	없/VA + 는/ETM
BTHO0397-00055942	수면	수면/NNG
BTHO0397-00055943	욕구를	욕구/NNG + 를/JKO
BTHO0397-00055944	느끼게	느끼/VV + 게/EC
BTHO0397-00055945	된다.	되/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00055946	눈이	눈/NNG + 이/JKS
BTHO0397-00055947	감기고,	감기/VV + 고/EC + ,/SP
BTHO0397-00055948	근육이	근육/NNG + 이/JKS
BTHO0397-00055949	이완되며,	이완/NNG + 되/XSV + 며/EC + ,/SP
BTHO0397-00055950	호흡은	호흡/NNG + 은/JX
BTHO0397-00055951	다소	다소/MAG
BTHO0397-00055952	깊어지고,	깊/VA + 어/EC + 지/VX + 고/EC + ,/SP
BTHO0397-00055953	꾸벅꾸벅	꾸벅꾸벅/MAG
BTHO0397-00055954	조는	졸/VV + 는/ETM
BTHO0397-00055955	것처럼	것/NNB + 처럼/JKB
BTHO0397-00055956	보인다.	보이/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00055957	소음,	소음/NNG + ,/SP
BTHO0397-00055958	촉각,	촉각/NNG + ,/SP
BTHO0397-00055959	강연자의	강연자/NNG + 의/JKG
BTHO0397-00055960	강연	강연/NNG
BTHO0397-00055961	중단	중단/NNG
BTHO0397-00055962	등과	등/NNB + 과/JKB
BTHO0397-00055963	같은	같/VA + 은/ETM
BTHO0397-00055964	미약한	미약/XR + 하/XSA + ᆫ/ETM
BTHO0397-00055965	자극으로	자극/NNG + 으로/JKB
BTHO0397-00055966	충분히	충분히/MAG
BTHO0397-00055967	환자를	환자/NNG + 를/JKO
BTHO0397-00055968	깨우는	깨우/VV + 는/ETM
BTHO0397-00055969	경우도	경우/NNG + 도/JX
BTHO0397-00055970	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00055971	수면의	수면/NNG + 의/JKG
BTHO0397-00055972	기간이	기간/NNG + 이/JKS
BTHO0397-00055973	환자가	환자/NNG + 가/JKS
BTHO0397-00055974	어딘가	어디/NP + 이/VCP + ᆫ가/EC
BTHO0397-00055975	기대지	기대/VV + 지/EC
BTHO0397-00055976	않고	않/VX + 고/EC
BTHO0397-00055977	15분	15/SN + 분/NNB
BTHO0397-00055978	이상	이상/NNG
BTHO0397-00055979	경과하는	경과/NNG + 하/XSV + 는/ETM
BTHO0397-00055980	경우는	경우/NNG + 는/JX
BTHO0397-00055981	드물지만,	드물/VA + 지만/EC + ,/SP
BTHO0397-00055982	때로	때로/MAG
BTHO0397-00055983	한시간	한/MM + 시간/NNG
BTHO0397-00055984	이상	이상/NNG
BTHO0397-00055985	경과할	경과/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00055986	수도	수/NNB + 도/JX
BTHO0397-00055987	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00055988	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00055989	낮잠을	낮잠/NNG + 을/JKO
BTHO0397-00055990	자고	자/VV + 고/EC
BTHO0397-00055991	나면	나/VX + 면/EC
BTHO0397-00055992	환자는	환자/NNG + 는/JX
BTHO0397-00055993	개운하다고	개운/XR + 하/XSA + 다고/EC
BTHO0397-00055994	한다.	하/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00055995	그러나	그러나/MAJ
BTHO0397-00055996	일부	일부/NNG
BTHO0397-00055997	발작성	발작/NNG + 성/XSN
BTHO0397-00055998	수면	수면/NNG
BTHO0397-00055999	환자들은	환자/NNG + 들/XSN + 은/JX
BTHO0397-00056000	하루	하루/NNG
BTHO0397-00056001	종일	종일/NNG
BTHO0397-00056002	멍청한	멍청/XR + 하/XSA + ᆫ/ETM
BTHO0397-00056003	듯	듯/NNB
BTHO0397-00056004	졸린	졸리/VV + ᆫ/ETM
BTHO0397-00056005	상태라고	상태/NNG + 이/VCP + 라고/EC
BTHO0397-00056006	말하기도	말/NNG + 하/XSV + 기/ETN + 도/JX
BTHO0397-00056007	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00056008	전형적인	전형/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0397-00056009	발작성	발작/NNG + 성/XSN
BTHO0397-00056010	수면과	수면/NNG + 과/JC
BTHO0397-00056011	평범한	평범/XR + 하/XSA + ᆫ/ETM
BTHO0397-00056012	식사	식사/NNG
BTHO0397-00056013	후	후/NNG
BTHO0397-00056014	식곤증과의	식곤증/NNG + 과/JKB + 의/JKG
BTHO0397-00056015	감별은	감별/NNG + 은/JX
BTHO0397-00056016	전자가	전자/NNG + 가/JKS
BTHO0397-00056017	더	더/MAG
BTHO0397-00056018	빈번하고	빈번/XR + 하/XSA + 고/EC
BTHO0397-00056019	(일반적으로	(/SS + 일반/NNG + 적/XSN + 으로/JKB
BTHO0397-00056020	하루에	하루/NNG + 에/JKB
BTHO0397-00056021	2～6회)	2/SN + ～/SO + 6/SN + 회/NNB + )/SS
BTHO0397-00056022	잠을	잠/NNG + 을/JKO
BTHO0397-00056023	참을	참/VV + 을/ETM
BTHO0397-00056024	수가	수/NNB + 가/JKS
BTHO0397-00056025	없으며	없/VA + 으며/EC
BTHO0397-00056026	그리고	그리고/MAJ
BTHO0397-00056027	통상적인	통상/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0397-00056028	상황이	상황/NNG + 이/JKC
BTHO0397-00056029	아닌,	아니/VCN + ᆫ/ETM + ,/SP
BTHO0397-00056030	즉	즉/MAG
BTHO0397-00056031	서	서/VV + 어/EC
BTHO0397-00056032	있는	있/VX + 는/ETM
BTHO0397-00056033	동안,	동안/NNG + ,/SP
BTHO0397-00056034	음식	음식/NNG
BTHO0397-00056035	먹는	먹/VV + 는/ETM
BTHO0397-00056036	동안	동안/NNG
BTHO0397-00056037	혹은	혹은/MAG
BTHO0397-00056038	대화를	대화/NNG + 를/JKO
BTHO0397-00056039	하는	하/VV + 는/ETM
BTHO0397-00056040	동안에	동안/NNG + 에/JKB
BTHO0397-00056041	발생한다는	발생/NNG + 하/XSV + ᆫ다는/ETM
BTHO0397-00056042	특성이	특성/NNG + 이/JKS
BTHO0397-00056043	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00056044	그리고	그리고/MAJ
BTHO0397-00056045	시야혼탁,	시야/NNG + 혼탁/NNG + ,/SP
BTHO0397-00056046	복시	복시/NNG
BTHO0397-00056047	및	및/MAG
BTHO0397-00056048	안검하수	안검/NNG + 하수/NNG
BTHO0397-00056049	등이	등/NNB + 이/JKS
BTHO0397-00056050	졸린	졸리/VV + ᆫ/ETM
BTHO0397-00056051	상태에서	상태/NNG + 에서/JKB
BTHO0397-00056052	생기는	생기/VV + 는/ETM
BTHO0397-00056053	경향이	경향/NNG + 이/JKS
BTHO0397-00056054	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00056055	발작성	발작/NNG + 성/XSN
BTHO0397-00056056	수면	수면/NNG
BTHO0397-00056057	환자들은	환자/NNG + 들/XSN + 은/JX
BTHO0397-00056058	다른	다른/MM
BTHO0397-00056059	기면증	기면증/NNG
BTHO0397-00056060	환자들처럼	환자/NNG + 들/XSN + 처럼/JKB
BTHO0397-00056061	수면의	수면/NNG + 의/JKG
BTHO0397-00056062	삽화	삽화/NNG
BTHO0397-00056063	이외에도	이외/NNG + 에/JKB + 도/JX
BTHO0397-00056064	흔히	흔히/MAG
BTHO0397-00056065	자동증적	자동증/NNG + 적/XSN
BTHO0397-00056066	행위	행위/NNG
BTHO0397-00056067	및	및/MAG
BTHO0397-00056068	건망증의	건망증/NNG + 의/JKG
BTHO0397-00056069	삽화들을	삽화/NNG + 들/XSN + 을/JKO
BTHO0397-00056070	경험하게	경험/NNG + 하/XSV + 게/EC
BTHO0397-00056071	된다.	되/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00056072	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00056073	삽화들은	삽화/NNG + 들/XSN + 은/JX
BTHO0397-00056074	수초에서	수초/NNG + 에서/JKB
BTHO0397-00056075	수	수/MM
BTHO0397-00056076	시간	시간/NNG
BTHO0397-00056077	이상	이상/NNG
BTHO0397-00056078	경과할	경과/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00056079	수도	수/NNB + 도/JX
BTHO0397-00056080	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00056081	진성	진성/NNG
BTHO0397-00056082	수면	수면/NNG
BTHO0397-00056083	발작	발작/NNG
BTHO0397-00056084	(true	(/SS + true/SL
BTHO0397-00056085	sleep	sleep/SL
BTHO0397-00056086	attack)은	attack/SL + )/SS + 은/JX
BTHO0397-00056087	잠에서	잠/NNG + 에서/JKB
BTHO0397-00056088	오는	오/VV + 는/ETM
BTHO0397-00056089	실수를	실수/NNG + 를/JKO
BTHO0397-00056090	흔히	흔히/MAG
BTHO0397-00056091	아침보다는	아침/NNG + 보다/JKB + 는/JX
BTHO0397-00056092	오후나	오후/NNG + 나/JC
BTHO0397-00056093	저녁	저녁/NNG
BTHO0397-00056094	때	때/NNG
BTHO0397-00056095	잘	잘/MAG
BTHO0397-00056096	일으키며,	일으키/VV + 며/EC + ,/SP
BTHO0397-00056097	환자가	환자/NNG + 가/JKS
BTHO0397-00056098	혼자	혼자/NNG
BTHO0397-00056099	있거나	있/VV + 거나/EC
BTHO0397-00056100	혹은	혹은/MAG
BTHO0397-00056101	운전과	운전/NNG + 과/JKB
BTHO0397-00056102	같은	같/VA + 은/ETM
BTHO0397-00056103	단순한	단순/NNG + 하/XSA + ᆫ/ETM
BTHO0397-00056104	작업을	작업/NNG + 을/JKO
BTHO0397-00056105	수행할	수행/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00056106	때	때/NNG
BTHO0397-00056107	잘	잘/MAG
BTHO0397-00056108	일어난다.	일어나/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00056109	처음에	처음/NNG + 에/JKB
BTHO0397-00056110	환자가	환자/NNG + 가/JKS
BTHO0397-00056111	졸림을	졸리/VV + ᄆ/ETN + 을/JKO
BTHO0397-00056112	느끼며,	느끼/VV + 며/EC + ,/SP
BTHO0397-00056113	이런	이런/MM
BTHO0397-00056114	상태에서	상태/NNG + 에서/JKB
BTHO0397-00056115	깨려고	깨/VV + 려고/EC
BTHO0397-00056116	애쓰려한	애쓰/VV + 려/EC + 하/VX + ᆫ/ETM
BTHO0397-00056117	기억도	기억/NNG + 도/JX
BTHO0397-00056118	회상할	회상/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00056119	수	수/NNB
BTHO0397-00056120	있으나,	있/VV + 으나/EC + ,/SP
BTHO0397-00056121	결국에	결국/NNG + 에/JKB
BTHO0397-00056122	무엇이	무엇/NP + 이/JKS
BTHO0397-00056123	일어났는지	일어나/VV + 았/EP + 는지/EC
BTHO0397-00056124	모르게	모르/VV + 게/EC
BTHO0397-00056125	된다.	되/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00056126	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00056127	환자는	환자/NNG + 는/JX
BTHO0397-00056128	정확히	정확히/MAG
BTHO0397-00056129	일반적	일반/NNG + 적/XSN
BTHO0397-00056130	일은	일/NNG + 은/JX
BTHO0397-00056131	지속할	지속/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00056132	수도	수/NNB + 도/JX
BTHO0397-00056133	있으나,	있/VV + 으나/EC + ,/SP
BTHO0397-00056134	새로운	새롭/VA + ᆫ/ETM
BTHO0397-00056135	요구나	요구/NNG + 나/JC
BTHO0397-00056136	대답이	대답/NNG + 이/JKS
BTHO0397-00056137	복잡한	복잡/XR + 하/XSA + ᆫ/ETM
BTHO0397-00056138	질문에서는	질문/NNG + 에서/JKB + 는/JX
BTHO0397-00056139	적절히	적절히/MAG
BTHO0397-00056140	반응하지	반응/NNG + 하/XSV + 지/EC
BTHO0397-00056141	못하게	못하/VX + 게/EC
BTHO0397-00056142	된다.	되/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00056143	흔히	흔히/MAG
BTHO0397-00056144	아무	아무/MM
BTHO0397-00056145	의미	의미/NNG
BTHO0397-00056146	없는	없/VA + 는/ETM
BTHO0397-00056147	또는	또는/MAG
BTHO0397-00056148	연관이	연관/NNG + 이/JKC
BTHO0397-00056149	안	안/MAG
BTHO0397-00056150	되는	되/VV + 는/ETM
BTHO0397-00056151	단어들을	단어/NNG + 들/XSN + 을/JKO
BTHO0397-00056152	갑작스럽게	갑작스럽/VA + 게/EC
BTHO0397-00056153	내뱉는	내뱉/VV + 는/ETM
BTHO0397-00056154	현상을	현상/NNG + 을/JKO
BTHO0397-00056155	나타낸다.	나타내/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00056156	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00056157	발작만으로	발작/NNG + 만/JX + 으로/JKB
BTHO0397-00056158	끝나는	끝나/VV + 는/ETM
BTHO0397-00056159	수도	수/NNB + 도/JX
BTHO0397-00056160	있으나,	있/VV + 으나/EC + ,/SP
BTHO0397-00056161	때로는	때로/MAG + 는/JX
BTHO0397-00056162	완전한	완전/NNG + 하/XSA + ᆫ/ETM
BTHO0397-00056163	건망증	건망증/NNG
BTHO0397-00056164	상태가	상태/NNG + 가/JKS
BTHO0397-00056165	일어나기도	일어나/VV + 기/ETN + 도/JX
BTHO0397-00056166	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00056167	이와	이/NP + 와/JKB
BTHO0397-00056168	같은	같/VA + 은/ETM
BTHO0397-00056169	자동증적	자동증/NNG + 적/XSN
BTHO0397-00056170	행위	행위/NNG
BTHO0397-00056171	및	및/MAG
BTHO0397-00056172	건망증의	건망증/NNG + 의/JKG
BTHO0397-00056173	발작은	발작/NNG + 은/JX
BTHO0397-00056174	흔히	흔히/MAG
BTHO0397-00056175	있으며,	있/VV + 으며/EC + ,/SP
BTHO0397-00056176	발작성	발작/NNG + 성/XSN
BTHO0397-00056177	수면-탈력	수면/NNG + -/SS + 탈력/NNG
BTHO0397-00056178	발작이	발작/NNG + 이/JKS
BTHO0397-00056179	있는	있/VV + 는/ETM
BTHO0397-00056180	환자들의	환자/NNG + 들/XSN + 의/JKG
BTHO0397-00056181	약	약/MM
BTHO0397-00056182	반수	반수/NNG
BTHO0397-00056183	이상에서	이상/NNG + 에서/JKB
BTHO0397-00056184	일어나고	일어나/VV + 고/EC
BTHO0397-00056185	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0397-00056186	이런	이런/MM
BTHO0397-00056187	환자들에서는	환자/NNG + 들/XSN + 에서/JKB + 는/JX
BTHO0397-00056188	추락	추락/NNG
BTHO0397-00056189	사고가	사고/NNG + 가/JKS
BTHO0397-00056190	빈번하며,	빈번/XR + 하/XSA + 며/EC + ,/SP
BTHO0397-00056191	간질	간질/NNG
