<head>
BTHO0394-00000003	문제의	문제/NNG + 의/JKG
BTHO0394-00015229	거의	거의/MAG
BTHO0394-00015230	없다고	없/VA + 다고/EC
BTHO0394-00015231	불평하면서	불평/NNG + 하/XSV + 면서/EC
BTHO0394-00015232	대학의	대학/NNG + 의/JKG
BTHO0394-00015233	자율성	자율/NNG + 성/XSN
BTHO0394-00015234	확대를	확대/NNG + 를/JKO
BTHO0394-00015235	요구하고	요구/NNG + 하/XSV + 고/EC
BTHO0394-00015236	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00015237	그런데,	그런데/MAJ + ,/SP
BTHO0394-00015238	대학에	대학/NNG + 에/JKB
BTHO0394-00015239	자율성을	자율/NNG + 성/XSN + 을/JKO
BTHO0394-00015240	부여하면	부여/NNG + 하/XSV + 면/EC
BTHO0394-00015241	대학은	대학/NNG + 은/JX
BTHO0394-00015242	어떠한	어떠/XR + 하/XSA + ᆫ/ETM
BTHO0394-00015243	시스템으로	시스템/NNG + 으로/JKB
BTHO0394-00015244	움직일	움직이/VV + ᆯ/ETM
BTHO0394-00015245	수	수/NNB
BTHO0394-00015246	있을까?	있/VV + 을까/EF + ?/SF
</p>
<p>
BTHO0394-00015247	과연	과연/MAG
BTHO0394-00015248	우리나라의	우리나라/NNG + 의/JKG
BTHO0394-00015249	대학들이	대학/NNG + 들/XSN + 이/JKS
BTHO0394-00015250	내부적인	내부/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00015251	의견수렴과정을	의견/NNG + 수렴/NNG + 과정/NNG + 을/JKO
BTHO0394-00015252	통해	통하/VV + 아/EC
BTHO0394-00015253	자체적으로	자체/NNG + 적/XSN + 으로/JKB
BTHO0394-00015254	문제를	문제/NNG + 를/JKO
BTHO0394-00015255	해결해	해결/NNG + 하/XSV + 아/EC
BTHO0394-00015256	나갈	나가/VX + ᆯ/ETM
BTHO0394-00015257	수	수/NNB
BTHO0394-00015258	있는	있/VV + 는/ETM
BTHO0394-00015259	제도적	제도/NNG + 적/XSN
BTHO0394-00015260	시스템을	시스템/NNG + 을/JKO
BTHO0394-00015261	갖추고	갖추/VV + 고/EC
BTHO0394-00015262	있는가?	있/VX + 는가/EF + ?/SF
</p>
<p>
BTHO0394-00015263	이	이/MM
BTHO0394-00015264	질문에	질문/NNG + 에/JKB
BTHO0394-00015265	자신	자신/NNG
BTHO0394-00015266	있게	있/VV + 게/EC
BTHO0394-00015267	대답할	대답/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00015268	수	수/NNB
BTHO0394-00015269	있는	있/VV + 는/ETM
BTHO0394-00015270	대학은	대학/NNG + 은/JX
BTHO0394-00015271	그리	그리/MAG
BTHO0394-00015272	많지	많/VA + 지/EC
BTHO0394-00015273	않을	않/VX + 을/ETM
BTHO0394-00015274	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00015275	이제,	이제/MAG + ,/SP
BTHO0394-00015276	대학	대학/NNG
BTHO0394-00015277	안에서도	안/NNG + 에서/JKB + 도/JX
BTHO0394-00015278	스스로의	스스로/NNG + 의/JKG
BTHO0394-00015279	문제에	문제/NNG + 에/JKB
BTHO0394-00015280	대해	대하/VV + 아/EC
BTHO0394-00015281	스스로	스스로/MAG
BTHO0394-00015282	결정하고	결정/NNG + 하/XSV + 고/EC
BTHO0394-00015283	이에	이/NP + 에/JKB
BTHO0394-00015284	대해	대하/VV + 아/EC
BTHO0394-00015285	책임을	책임/NNG + 을/JKO
BTHO0394-00015286	지는	지/VV + 는/ETM
BTHO0394-00015287	성숙한	성숙/NNG + 하/XSV + ᆫ/ETM
BTHO0394-00015288	의사결정	의사/NNG + 결정/NNG
BTHO0394-00015289	시스템이	시스템/NNG + 이/JKS
BTHO0394-00015290	마련되어야	마련/NNG + 되/XSV + 어야/EC
BTHO0394-00015291	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00015292	그리고,	그리고/MAJ + ,/SP
BTHO0394-00015293	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00015294	의사결정	의사/NNG + 결정/NNG
BTHO0394-00015295	시스템의	시스템/NNG + 의/JKG
BTHO0394-00015296	출발은	출발/NNG + 은/JX
BTHO0394-00015297	대학	대학/NNG
BTHO0394-00015298	안에서의	안/NNG + 에서/JKB + 의/JKG
BTHO0394-00015299	분권화이다.	분권/NNG + 화/XSN + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00015300	단과대학이나	단과/NNG + 대학/NNG + 이나/JC
BTHO0394-00015301	학부	학부/NNG
BTHO0394-00015302	또는	또는/MAG
BTHO0394-00015303	학과가	학과/NNG + 가/JKS
BTHO0394-00015304	모든	모든/MM
BTHO0394-00015305	의사결정을	의사/NNG + 결정/NNG + 을/JKO
BTHO0394-00015306	학교	학교/NNG
BTHO0394-00015307	당국에	당국/NNG + 에/JKB
BTHO0394-00015308	의지하는	의지/NNG + 하/XSV + 는/ETM
BTHO0394-00015309	것이	것/NNB + 이/JKC
BTHO0394-00015310	아니라,	아니/VCN + 라/EC + ,/SP
BTHO0394-00015311	서로	서로/MAG
BTHO0394-00015312	대등한	대등/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00015313	입장에서	입장/NNG + 에서/JKB
BTHO0394-00015314	서로의	서로/NNG + 의/JKG
BTHO0394-00015315	의견을	의견/NNG + 을/JKO
BTHO0394-00015316	조율하고	조율/NNG + 하/XSV + 고/EC
BTHO0394-00015317	협상을	협상/NNG + 을/JKO
BTHO0394-00015318	통해	통하/VV + 아/EC
BTHO0394-00015319	관련	관련/NNG
BTHO0394-00015320	사항을	사항/NNG + 을/JKO
BTHO0394-00015321	결정하는	결정/NNG + 하/XSV + 는/ETM
BTHO0394-00015322	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00015323	예를	예/NNG + 를/JKO
BTHO0394-00015324	들어,	들/VV + 어/EC + ,/SP
BTHO0394-00015325	교수의	교수/NNG + 의/JKG
BTHO0394-00015326	정원에	정원/NNG + 에/JKB
BTHO0394-00015327	관한	관하/VV + ᆫ/ETM
BTHO0394-00015328	내용을	내용/NNG + 을/JKO
BTHO0394-00015329	학교	학교/NNG
BTHO0394-00015330	당국이	당국/NNG + 이/JKS
BTHO0394-00015331	결정하기보다는	결정/NNG + 하/XSV + 기/ETN + 보다/JKB + 는/JX
BTHO0394-00015332	각각의	각각/NNG + 의/JKG
BTHO0394-00015333	학과가	학과/NNG + 가/JKS
BTHO0394-00015334	판단하여	판단/NNG + 하/XSV + 아/EC
BTHO0394-00015335	결정할	결정/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00015336	수	수/NNB
BTHO0394-00015337	있도록	있/VV + 도록/EC
BTHO0394-00015338	각	각/MM
BTHO0394-00015339	학과에	학과/NNG + 에/JKB
BTHO0394-00015340	자율성을	자율/NNG + 성/XSN + 을/JKO
BTHO0394-00015341	부여하는	부여/NNG + 하/XSV + 는/ETM
BTHO0394-00015342	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00015343	각	각/MM
BTHO0394-00015344	학과는	학과/NNG + 는/JX
BTHO0394-00015345	학과가	학과/NNG + 가/JKS
BTHO0394-00015346	유지할	유지/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00015347	수	수/NNB
BTHO0394-00015348	있는	있/VV + 는/ETM
BTHO0394-00015349	학생의	학생/NNG + 의/JKG
BTHO0394-00015350	숫자,	숫자/NNG + ,/SP
BTHO0394-00015351	학과가	학과/NNG + 가/JKS
BTHO0394-00015352	확보할	확보/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00015353	수	수/NNB
BTHO0394-00015354	있는	있/VV + 는/ETM
BTHO0394-00015355	연구비의	연구비/NNG + 의/JKG
BTHO0394-00015356	규모와	규모/NNG + 와/JC
BTHO0394-00015357	이를	이/NP + 를/JKO
BTHO0394-00015358	통한	통하/VV + ᆫ/ETM
BTHO0394-00015359	대학원생에	대학원/NNG + 생/XSN + 에/JKB
BTHO0394-00015360	대한	대하/VV + ᆫ/ETM
BTHO0394-00015361	지원	지원/NNG
BTHO0394-00015362	규모	규모/NNG
BTHO0394-00015363	등	등/NNB
BTHO0394-00015364	제반	제반/NNG
BTHO0394-00015365	요소를	요소/NNG + 를/JKO
BTHO0394-00015366	감안하여	감안/NNG + 하/XSV + 아/EC
BTHO0394-00015367	학과에서	학과/NNG + 에서/JKB
BTHO0394-00015368	유지할	유지/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00015369	수	수/NNB
BTHO0394-00015370	있는	있/VV + 는/ETM
BTHO0394-00015371	교수의	교수/NNG + 의/JKG
BTHO0394-00015372	숫자와	숫자/NNG + 와/JC
BTHO0394-00015373	전공을	전공/NNG + 을/JKO
BTHO0394-00015374	분석하도록	분석/NNG + 하/XSV + 도록/EC
BTHO0394-00015375	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00015376	학과는	학과/NNG + 는/JX
BTHO0394-00015377	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00015378	객관적	객관/NNG + 적/XSN
BTHO0394-00015379	근거를	근거/NNG + 를/JKO
BTHO0394-00015380	가지고	가지/VV + 고/EC
BTHO0394-00015381	대학	대학/NNG
BTHO0394-00015382	당국과	당국/NNG + 과/JC
BTHO0394-00015383	협상을	협상/NNG + 을/JKO
BTHO0394-00015384	하고,	하/VV + 고/EC + ,/SP
BTHO0394-00015385	이를	이/NP + 를/JKO
BTHO0394-00015386	통해	통하/VV + 아/EC
BTHO0394-00015387	최종적으로	최종/NNG + 적/XSN + 으로/JKB
BTHO0394-00015388	학과의	학과/NNG + 의/JKG
BTHO0394-00015389	교수	교수/NNG
BTHO0394-00015390	정원을	정원/NNG + 을/JKO
BTHO0394-00015391	결정하도록	결정/NNG + 하/XSV + 도록/EC
BTHO0394-00015392	하는	하/VX + 는/ETM
BTHO0394-00015393	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00015394	협상과정에서	협상/NNG + 과정/NNG + 에서/JKB
BTHO0394-00015395	대학	대학/NNG
BTHO0394-00015396	당국이	당국/NNG + 이/JKS
BTHO0394-00015397	지원해야	지원/NNG + 하/XSV + 아야/EC
BTHO0394-00015398	하는	하/VX + 는/ETM
BTHO0394-00015399	부분과	부분/NNG + 과/JC
BTHO0394-00015400	학과가	학과/NNG + 가/JKS
BTHO0394-00015401	담당해야	담당/NNG + 하/XSV + 아야/EC
BTHO0394-00015402	하는	하/VX + 는/ETM
BTHO0394-00015403	역할을	역할/NNG + 을/JKO
BTHO0394-00015404	결정하고	결정/NNG + 하/XSV + 고/EC
BTHO0394-00015405	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00015406	약속사항에	약속/NNG + 사항/NNG + 에/JKB
BTHO0394-00015407	대해	대하/VV + 아/EC
BTHO0394-00015408	양측이	양측/NNG + 이/JKS
BTHO0394-00015409	성실하게	성실/NNG + 하/XSA + 게/EC
BTHO0394-00015410	준수하도록	준수/NNG + 하/XSV + 도록/EC
BTHO0394-00015411	해야	하/VX + 아야/EC
BTHO0394-00015412	할	하/VX + ᆯ/ETM
BTHO0394-00015413	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00015414	물론,	물론/MAG + ,/SP
BTHO0394-00015415	기초학문에	기초/NNG + 학문/NNG + 에/JKB
BTHO0394-00015416	속하는	속하/VV + 는/ETM
BTHO0394-00015417	학과의	학과/NNG + 의/JKG
BTHO0394-00015418	경우에는	경우/NNG + 에/JKB + 는/JX
BTHO0394-00015419	대학당국의	대학/NNG + 당국/NNG + 의/JKG
BTHO0394-00015420	배려가	배려/NNG + 가/JKS
BTHO0394-00015421	있어야	있/VV + 어야/EC
BTHO0394-00015422	할	하/VX + ᆯ/ETM
BTHO0394-00015423	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00015424	이와	이/NP + 와/JKB
BTHO0394-00015425	같은	같/VA + 은/ETM
BTHO0394-00015426	자율성의	자율/NNG + 성/XSN + 의/JKG
BTHO0394-00015427	부여와	부여/NNP + 와/JKB
BTHO0394-00015428	함께	함께/MAG
BTHO0394-00015429	학교	학교/NNG
BTHO0394-00015430	당국은	당국/NNG + 은/JX
BTHO0394-00015431	체계적인	체계/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00015432	appeal	appeal/SL
BTHO0394-00015433	시스템을	시스템/NNG + 을/JKO
BTHO0394-00015434	가지고	가지/VV + 고/EC
BTHO0394-00015435	있어야	있/VX + 어야/EC
BTHO0394-00015436	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00015437	각	각/MM
BTHO0394-00015438	조직단위에	조직/NNG + 단위/NNG + 에/JKB
BTHO0394-00015439	자율성이	자율/NNG + 성/XSN + 이/JKS
BTHO0394-00015440	부여되면,	부여/NNG + 되/XSV + 면/EC + ,/SP
BTHO0394-00015441	자율성이	자율/NNG + 성/XSN + 이/JKS
BTHO0394-00015442	부여된	부여/NNG + 되/XSV + ᆫ/ETM
BTHO0394-00015443	조직의	조직/NNG + 의/JKG
BTHO0394-00015444	장이	장/NNG + 이/JKS
BTHO0394-00015445	상대적으로	상대/NNG + 적/XSN + 으로/JKB
BTHO0394-00015446	큰	크/VA + ᆫ/ETM
BTHO0394-00015447	권한을	권한/NNG + 을/JKO
BTHO0394-00015448	가지게	가지/VV + 게/EC
BTHO0394-00015449	되므로	되/VV + 므로/EC
BTHO0394-00015450	권한	권한/NNG
BTHO0394-00015451	남용에	남용/NNG + 에/JKB
BTHO0394-00015452	의한	의하/VV + ᆫ/ETM
BTHO0394-00015453	선의의	선의/NNG + 의/JKG
BTHO0394-00015454	피해자가	피해자/NNG + 가/JKS
BTHO0394-00015455	발생할	발생/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00015456	가능성이	가능/NNG + 성/XSN + 이/JKS
BTHO0394-00015457	있기	있/VV + 기/ETN
BTHO0394-00015458	때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00015459	따라서,	따라서/MAJ + ,/SP
BTHO0394-00015460	선의의	선의/NNG + 의/JKG
BTHO0394-00015461	피해자를	피해자/NNG + 를/JKO
BTHO0394-00015462	구제할	구제/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00015463	수	수/NNB
BTHO0394-00015464	있는	있/VV + 는/ETM
BTHO0394-00015465	appeal	appeal/SL
BTHO0394-00015466	시스템은	시스템/NNG + 은/JX
BTHO0394-00015467	조직의	조직/NNG + 의/JKG
BTHO0394-00015468	자율성과	자율/NNG + 성/XSN + 과/JC
BTHO0394-00015469	함께	함께/MAG
BTHO0394-00015470	항상	항상/MAG
BTHO0394-00015471	병행되어야	병행/NNG + 되/XSV + 어야/EC
BTHO0394-00015472	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<head>
BTHO0394-00015473	11.2	11/SN + ./SP + 2/SN
BTHO0394-00015474	대학	대학/NNG
BTHO0394-00015475	특성화의	특성/NNG + 화/XSN + 의/JKG
BTHO0394-00015476	추진	추진/NNG
</head>
<p>
BTHO0394-00015477	대학은	대학/NNG + 은/JX
BTHO0394-00015478	과감하게	과감/XR + 하/XSA + 게/EC
BTHO0394-00015479	그리고	그리고/MAJ
BTHO0394-00015480	지속적으로	지속/NNG + 적/XSN + 으로/JKB
BTHO0394-00015481	대학	대학/NNG
BTHO0394-00015482	특성화를	특성/NNG + 화/XSN + 를/JKO
BTHO0394-00015483	추진하여야	추진/NNG + 하/XSV + 아야/EC
BTHO0394-00015484	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00015485	아무리	아무리/MAG
BTHO0394-00015486	우수한	우수/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00015487	대학이라도	대학/NNG + 이/VCP + 라도/EC
BTHO0394-00015488	모든	모든/MM
BTHO0394-00015489	분야에서	분야/NNG + 에서/JKB
BTHO0394-00015490	선두를	선두/NNG + 를/JKO
BTHO0394-00015491	차지할	차지/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00015492	수	수/NNB
BTHO0394-00015493	없는	없/VA + 는/ETM
BTHO0394-00015494	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00015495	<표	</SS + 표/NNG
BTHO0394-00015496	3-2>에서	3/SN + -/SS + 2/SN + >/SS + 에서/JKB
BTHO0394-00015497	보는	보/VV + 는/ETM
BTHO0394-00015498	바와	바/NNB + 와/JKB
BTHO0394-00015499	같이,	같이/MAG + ,/SP
BTHO0394-00015500	미국의	미국/NNP + 의/JKG
BTHO0394-00015501	경우	경우/NNG
BTHO0394-00015502	과학	과학/NNG
BTHO0394-00015503	및	및/MAG
BTHO0394-00015504	공학분야의	공학/NNG + 분야/NNG + 의/JKG
BTHO0394-00015505	36개	36/SN + 개/NNB
BTHO0394-00015506	분야	분야/NNG
BTHO0394-00015507	중에서	중/NNB + 에서/JKB
BTHO0394-00015508	14개	14/SN + 개/NNB
BTHO0394-00015509	분야의	분야/NNG + 의/JKG
BTHO0394-00015510	1위를	1/SN + 위/NNB + 를/JKO
BTHO0394-00015511	MIT가	MIT/SL + 가/JKS
BTHO0394-00015512	차지하고	차지/NNG + 하/XSV + 고/EC
BTHO0394-00015513	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00015514	그러나,	그러나/MAJ + ,/SP
BTHO0394-00015515	나머지	나머지/NNG
BTHO0394-00015516	22개의	22/SN + 개/NNB + 의/JKG
BTHO0394-00015517	분야에서	분야/NNG + 에서/JKB
BTHO0394-00015518	1위를	1/SN + 위/NNB + 를/JKO
BTHO0394-00015519	차지하는	차지/NNG + 하/XSV + 는/ETM
BTHO0394-00015520	대학은	대학/NNG + 은/JX
BTHO0394-00015521	MIT가	MIT/SL + 가/JKC
BTHO0394-00015522	아닌	아니/VCN + ᆫ/ETM
BTHO0394-00015523	다른	다른/MM
BTHO0394-00015524	대학들이다.	대학/NNG + 들/XSN + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00015525	즉,	즉/MAG + ,/SP
BTHO0394-00015526	MIT를	MIT/SL + 를/JKO
BTHO0394-00015527	포함한	포함/NNG + 하/XSV + ᆫ/ETM
BTHO0394-00015528	13개	13/SN + 개/NNB
BTHO0394-00015529	대학이	대학/NNG + 이/JKS
BTHO0394-00015530	36개	36/SN + 개/NNB
BTHO0394-00015531	분야	분야/NNG
BTHO0394-00015532	중	중/NNB
BTHO0394-00015533	적어도	적어도/MAG
BTHO0394-00015534	1개	1/SN + 개/NNB
BTHO0394-00015535	이상의	이상/NNG + 의/JKG
BTHO0394-00015536	분야에서	분야/NNG + 에서/JKB
BTHO0394-00015537	1위를	1/SN + 위/NNB + 를/JKO
BTHO0394-00015538	차지하고	차지/NNG + 하/XSV + 고/EC
BTHO0394-00015539	있는	있/VX + 는/ETM
BTHO0394-00015540	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00015541	그리고	그리고/MAJ
BTHO0394-00015542	각	각/MM
BTHO0394-00015543	분야에서	분야/NNG + 에서/JKB
BTHO0394-00015544	선두를	선두/NNG + 를/JKO
BTHO0394-00015545	차지하는	차지/NNG + 하/XSV + 는/ETM
BTHO0394-00015546	대학은	대학/NNG + 은/JX
BTHO0394-00015547	계속	계속/MAG
BTHO0394-00015548	바뀌어갈	바뀌/VV + 어/EC + 가/VX + ᆯ/ETM
BTHO0394-00015549	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00015550	왜냐하면,	왜냐하면/MAG + ,/SP
BTHO0394-00015551	1위를	1/SN + 위/NNB + 를/JKO
BTHO0394-00015552	차지하지	차지/NNG + 하/XSV + 지/EC
BTHO0394-00015553	못한	못하/VX + ᆫ/ETM
BTHO0394-00015554	대학들이	대학/NNG + 들/XSN + 이/JKS
BTHO0394-00015555	끊임없이	끊임없이/MAG
BTHO0394-00015556	1위	1/SN + 위/NNB
BTHO0394-00015557	자리를	자리/NNG + 를/JKO
BTHO0394-00015558	향해	향하/VV + 아/EC
BTHO0394-00015559	도전하기	도전/NNG + 하/XSV + 기/ETN
BTHO0394-00015560	때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00015561	우리나라의	우리나라/NNG + 의/JKG
BTHO0394-00015562	과학기술	과학/NNG + 기술/NNG
BTHO0394-00015563	자원은	자원/NNG + 은/JX
BTHO0394-00015564	미국보다	미국/NNP + 보다/JKB
BTHO0394-00015565	그	그/MM
BTHO0394-00015566	절대	절대/NNG
BTHO0394-00015567	규모	규모/NNG
BTHO0394-00015568	면에	면/NNG + 에/JKB
BTHO0394-00015569	있어서	있/VV + 어서/EC
BTHO0394-00015570	비교가	비교/NNG + 가/JKC
BTHO0394-00015571	될	되/VV + ᆯ/ETM
BTHO0394-00015572	수	수/NNB
BTHO0394-00015573	없는	없/VA + 는/ETM
BTHO0394-00015574	실정이다.	실정/NNG + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00015575	따라서,	따라서/MAJ + ,/SP
BTHO0394-00015576	우리나라가	우리나라/NNG + 가/JKS
BTHO0394-00015577	해당	해당/NNG
BTHO0394-00015578	분야에서	분야/NNG + 에서/JKB
BTHO0394-00015579	세계적	세계/NNG + 적/XSN
BTHO0394-00015580	수준의	수준/NNG + 의/JKG
BTHO0394-00015581	경쟁력을	경쟁력/NNG + 을/JKO
BTHO0394-00015582	갖추기	갖추/VV + 기/ETN
BTHO0394-00015583	위해서는	위하/VV + 아서/EC + 는/JX
BTHO0394-00015584	이	이/MM
BTHO0394-00015585	분야의	분야/NNG + 의/JKG
BTHO0394-00015586	연구자원이	연구/NNG + 자원/NNG + 이/JKS
BTHO0394-00015587	충분한	충분/XR + 하/XSA + ᆫ/ETM
BTHO0394-00015588	크기(critical	크기/NNG + (/SS + critical/SL
BTHO0394-00015589	mass)에	mass/SL + )/SS + 에/JKB
BTHO0394-00015590	도달해야	도달/NNG + 하/XSV + 아야/EC
BTHO0394-00015591	하며,	하/VX + 며/EC + ,/SP
BTHO0394-00015592	이를	이/NP + 를/JKO
BTHO0394-00015593	위해	위하/VV + 아/EC
BTHO0394-00015594	반드시	반드시/MAG
BTHO0394-00015595	대학의	대학/NNG + 의/JKG
BTHO0394-00015596	특성화가	특성/NNG + 화/XSN + 가/JKS
BTHO0394-00015597	이루어져야	이루어지/VV + 어야/EC
BTHO0394-00015598	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<head>
BTHO0394-00015599	11.3	11/SN + ./SP + 3/SN
BTHO0394-00015600	지역과의	지역/NNG + 과/JKB + 의/JKG
BTHO0394-00015601	연계강화	연계/NNG + 강화/NNG
</head>
<p>
BTHO0394-00015602	오늘날의	오늘날/NNG + 의/JKG
BTHO0394-00015603	사회가	사회/NNG + 가/JKS
BTHO0394-00015604	지식기반사회로	지식/NNG + 기반/NNG + 사회/NNG + 로/JKB
BTHO0394-00015605	나아갈수록,	나아가/VV + ᆯ수록/EC + ,/SP
BTHO0394-00015606	그리고	그리고/MAJ
BTHO0394-00015607	우리나라의	우리나라/NNG + 의/JKG
BTHO0394-00015608	경제발전이	경제/NNG + 발전/NNG + 이/JKS
BTHO0394-00015609	이루어질수록	이루어지/VV + ᆯ수록/EC
BTHO0394-00015610	중앙정부의	중앙/NNG + 정부/NNG + 의/JKG
BTHO0394-00015611	역할보다는	역할/NNG + 보다/JKB + 는/JX
BTHO0394-00015612	지역의	지역/NNG + 의/JKG
BTHO0394-00015613	역할이	역할/NNG + 이/JKS
BTHO0394-00015614	증대될	증대/NNG + 되/XSV + ᆯ/ETM
BTHO0394-00015615	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00015616	아울러,	아울러/MAG + ,/SP
BTHO0394-00015617	지역사회에서	지역/NNG + 사회/NNG + 에서/JKB
BTHO0394-00015618	지식생산의	지식/NNG + 생산/NNG + 의/JKG
BTHO0394-00015619	중심지로서	중심지/NNG + 로서/JKB
BTHO0394-00015620	대학이	대학/NNG + 이/JKS
BTHO0394-00015621	차지하는	차지/NNG + 하/XSV + 는/ETM
BTHO0394-00015622	역할도	역할/NNG + 도/JX
BTHO0394-00015623	점차	점차/MAG
BTHO0394-00015624	증대될	증대/NNG + 되/XSV + ᆯ/ETM
BTHO0394-00015625	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00015626	대학은	대학/NNG + 은/JX
BTHO0394-00015627	지역사회를	지역/NNG + 사회/NNG + 를/JKO
BTHO0394-00015628	향해	향하/VV + 아/EC
BTHO0394-00015629	자신이	자신/NNG + 이/JKS
BTHO0394-00015630	기여할	기여/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00015631	수	수/NNB
BTHO0394-00015632	있는	있/VV + 는/ETM
BTHO0394-00015633	다양한	다양/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00015634	방안을	방안/NNG + 을/JKO
BTHO0394-00015635	제시하고	제시/NNG + 하/XSV + 고/EC
BTHO0394-00015636	지역사회가	지역/NNG + 사회/NNG + 가/JKS
BTHO0394-00015637	대학을	대학/NNG + 을/JKO
BTHO0394-00015638	적극적으로	적극/NNG + 적/XSN + 으로/JKB
BTHO0394-00015639	활용할	활용/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00015640	수	수/NNB
BTHO0394-00015641	있도록	있/VV + 도록/EC
BTHO0394-00015642	유도해야	유도/NNG + 하/XSV + 아야/EC
BTHO0394-00015643	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00015644	궁극적으로	궁극/NNG + 적/XSN + 으로/JKB
BTHO0394-00015645	대학은	대학/NNG + 은/JX
BTHO0394-00015646	지역	지역/NNG
BTHO0394-00015647	혁신	혁신/NNG
BTHO0394-00015648	클러스터(regional	클러스터/NNG + (/SS + regional/SL
BTHO0394-00015649	innovation	innovation/SL
BTHO0394-00015650	cluster)의	cluster/SL + )/SS + 의/JKG
BTHO0394-00015651	구심적	구심/NNG + 적/XSN
BTHO0394-00015652	역할을	역할/NNG + 을/JKO
BTHO0394-00015653	수행해야	수행/NNG + 하/XSV + 아야/EC
BTHO0394-00015654	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00015655	11.4	11/SN + ./SP + 4/SN
BTHO0394-00015656	도덕성	도덕/NNG + 성/XSN
BTHO0394-00015657	확립	확립/NNG
</p>
<p>
BTHO0394-00015658	최근	최근/NNG
BTHO0394-00015659	정부의	정부/NNG + 의/JKG
BTHO0394-00015660	연구개발사업에	연구/NNG + 개발/NNG + 사업/NNG + 에/JKB
BTHO0394-00015661	참여하고	참여/NNG + 하/XSV + 고/EC
BTHO0394-00015662	있는	있/VX + 는/ETM
BTHO0394-00015663	교수들과	교수/NNG + 들/XSN + 과/JC
BTHO0394-00015664	연구원들은	연구원/NNG + 들/XSN + 은/JX
BTHO0394-00015665	'연구비카드제'의	'/SS + 연구비/NNG + 카드/NNG + 제/XSN + '/SS + 의/JKG
BTHO0394-00015666	도입에	도입/NNG + 에/JKB
BTHO0394-00015667	대해	대하/VV + 아/EC
BTHO0394-00015668	많은	많/VA + 은/ETM
BTHO0394-00015669	불편을	불편/NNG + 을/JKO
BTHO0394-00015670	토로하고	토로/NNG + 하/XSV + 고/EC
BTHO0394-00015671	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00015672	연구비카드제란	연구비/NNG + 카드/NNG + 제/XSN + 란/JX
BTHO0394-00015673	정부의	정부/NNG + 의/JKG
BTHO0394-00015674	연구개발	연구/NNG + 개발/NNG
